127.0.0.1 - - [13/Apr/2018:09:44:36 +0800] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:44:48 +0800] "GET /Project/index.html HTTP/1.1" 200 6501
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:44:48 +0800] "GET /Project/images/icon2.png HTTP/1.1" 200 17629
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:44:48 +0800] "GET /Project/images/circle.png HTTP/1.1" 200 236897
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:44:48 +0800] "GET /Project/style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:44:48 +0800] "GET /Project/images/1.png HTTP/1.1" 200 37870
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:45:05 +0800] "GET /Project/style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:45:12 +0800] "GET /Project/style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:45:42 +0800] "GET /Project/style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:45:49 +0800] "GET /Project/style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:46:10 +0800] "GET /Project/style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:47:02 +0800] "GET /Project/QA.html HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:47:02 +0800] "GET /Project/css/style.css HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:47:02 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:47:02 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:48:38 +0800] "GET /Project/index.html HTTP/1.1" 200 6496
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:48:38 +0800] "GET /css/style.css HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:48:38 +0800] "GET /Project/images/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:48:38 +0800] "GET /Project/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:48:38 +0800] "GET /Project/images/circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:48:54 +0800] "GET /css/style.css HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:50:10 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6495
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:50:10 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:50:10 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:50:12 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6514
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/images/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/images/circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:40 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:52:46 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:53:18 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6519
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:53:18 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:53:18 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
